timestamp,proc_stat_cpu_all,proc_stat_cpu_guest,proc_stat_cpu_idle,proc_stat_cpu_iowait,proc_stat_cpu_irq,proc_stat_cpu_nguest,proc_stat_cpu_nice,proc_stat_cpu_num,proc_stat_cpu_soft,proc_stat_cpu_steal,proc_stat_cpu_sys,proc_stat_cpu_user
1458857418,11,3,89,0,0,0,0,24,3,0,1,3
1458857419,10,2,90,0,0,0,0,24,2,0,1,2
1458857420,9,2,91,0,0,0,0,24,2,0,1,2
1458857421,10,3,90,0,0,0,0,24,2,0,1,3
1458857422,0,3,113,0,0,0,0,24,3,0,2,3
1458857423,8,1,92,0,0,0,0,24,2,0,1,2
1458857424,9,2,91,0,0,0,0,24,2,0,1,3
1458857425,8,2,92,0,0,0,0,24,2,0,1,2
1458857426,8,1,92,0,0,0,0,24,2,0,1,2
1458857427,8,2,92,0,0,0,0,24,2,0,1,2
1458857428,8,2,92,0,0,0,0,24,2,0,1,3
1458857429,8,1,92,0,0,0,0,24,2,0,1,1
1458857430,8,2,92,0,0,0,0,24,2,0,1,2
1458857431,11,2,89,0,0,0,0,24,2,0,1,3
1458857433,0,2,111,0,0,0,0,24,3,0,2,3
1458857434,11,2,89,0,0,0,0,24,2,0,1,3
1458857435,11,3,89,0,0,0,0,24,2,0,1,3
1458857436,11,2,89,0,0,0,0,24,2,0,1,3
1458857437,10,2,90,0,0,0,0,24,2,0,1,2
1458857438,11,2,89,0,0,0,0,24,2,0,1,3
1458857439,10,1,90,0,0,0,0,24,2,0,1,2
1458857440,11,3,89,0,0,0,0,24,2,0,1,3
1458857441,10,3,90,0,0,0,0,24,2,0,1,3
1458857442,10,3,90,0,0,0,0,24,3,0,1,3
1458857443,0,3,112,0,0,0,0,24,4,0,2,4
1458857444,11,3,89,0,0,0,0,24,3,0,1,4
1458857445,10,2,90,0,0,0,0,24,3,0,1,2
1458857446,10,2,90,0,0,0,0,24,2,0,1,3
1458857447,11,3,89,0,0,0,0,24,3,0,1,3
1458857448,10,2,90,0,0,0,0,24,3,0,1,3
1458857449,10,2,90,0,0,0,0,24,2,0,1,2
1458857450,11,2,89,0,0,0,0,24,3,0,1,3
1458857451,9,2,91,0,0,0,0,24,2,0,1,2
1458857452,9,2,91,0,0,0,0,24,3,0,1,2
1458857453,0,3,114,0,0,0,0,24,3,0,2,4
1458857454,9,2,91,0,0,0,0,24,2,0,1,3
1458857455,9,1,91,0,0,0,0,24,3,0,1,2
1458857456,11,3,89,0,0,0,0,24,3,0,1,3
1458857457,10,2,90,0,0,0,0,24,3,0,1,2
1458857458,9,1,91,0,0,0,0,24,2,0,1,2
1458857459,10,3,90,0,0,0,0,24,3,0,1,3
1458857460,9,2,91,0,0,0,0,24,2,0,1,2
1458857462,0,4,150,0,0,0,0,24,4,0,2,5
1458857463,9,1,91,0,0,0,0,24,2,0,1,2
1458857465,0,3,121,0,0,0,0,24,4,0,3,3
1458857466,9,2,91,0,0,0,0,24,2,0,1,3
1458857467,9,2,91,0,0,0,0,24,3,0,1,2
1458857468,9,2,91,0,0,0,0,24,2,0,1,2
1458857469,9,2,91,0,0,0,0,24,3,0,1,3
1458857470,8,2,92,0,0,0,0,24,2,0,1,2
1458857471,8,1,92,0,0,0,0,24,2,0,1,2
1458857472,10,3,90,0,0,0,0,24,3,0,1,3
1458857473,10,2,90,0,0,0,0,24,2,0,1,2
1458857474,11,2,89,0,0,0,0,24,3,0,1,2
1458857475,0,3,119,0,0,0,0,24,4,0,3,4
1458857476,9,3,91,0,0,0,0,24,2,0,1,3
